"report-def-0-rfile"
"Iteration" "cd"
("Iteration" "cd")
200 0.01279777991776855
201 0.01279778887698062
202 0.01279777753676806
203 0.0127977856349355
204 0.01279777614499142
205 0.01279778587837312
206 0.01279777681122446
207 0.01279778629583001
208 0.01279777682155554
209 0.01279778606207031
210 0.01279777647936436
211 0.01279778564669998
212 0.01279777599928883
213 0.01279778511974626
214 0.01279777544966935
215 0.01279778457447721
216 0.0127977749218834
217 0.01279778406916122
218 0.01279777443651155
219 0.01279778359868735
220 0.0127977739778442
221 0.01279778314821483
222 0.01279777353381173
223 0.01279778270972727
224 0.01279777310054963
225 0.01279778228232059
226 0.01279777267975909
227 0.01279778186812172
228 0.01279777227295133
229 0.01279778146963508
230 0.01279777188307104
231 0.01279778103133318
232 0.0127977715381534
233 0.01279778252105526
234 0.01279777564954642
235 0.01279778386180367
236 0.01279777242512173
237 0.01279777967270009
238 0.01279776988097216
239 0.01279777950851899
240 0.01279776972033858
241 0.0127977787218692
242 0.01279776828297419
243 0.0127977778441316
244 0.01279776911061266
245 0.01279777779356104
246 0.01279776727399632
247 0.01279777604537567
248 0.01279776614385257
249 0.01279835250882913
250 0.01279718046101239
251 0.01279720106156335
252 0.0127960191530619
253 0.01279663665236928
254 0.01279722496409834
255 0.01279743923256427
256 0.01279751022250219
257 0.01279764372174856
258 0.01279773264256886
259 0.01279942335537681
260 0.01279955227926723
261 0.01279913378404512
262 0.0127987966773305
263 0.01279853101723305
264 0.01279834836058341
265 0.01279824005125913
266 0.01279817457090664
267 0.01279814100723068
268 0.01279811584291056
269 0.01279811081008561
270 0.01279808775065473
271 0.01279770211719339
272 0.01279779464922158
273 0.01279775133141569
274 0.01279769394958421
275 0.01279769588243923
276 0.01279766844491295
277 0.01279768039429612
278 0.01279781055753821
279 0.01279780010740038
280 0.0127977607299891
281 0.0127977393618856
282 0.01279772216232453
283 0.01279772673899346
284 0.01279771974952303
285 0.01279773142017066
286 0.01279772541308067
287 0.01279773870404027
288 0.01279773149197797
289 0.0127977441019925
290 0.01279773624461506
291 0.01279787771810822
292 0.01279784591752606
293 0.0127976411075398
294 0.01279776539203543
295 0.01279784814549874
296 0.01279787355768091
297 0.01279789340966436
298 0.0127978772562896
299 0.01279787878977243
300 0.01279785005495592
301 0.01279784456376544
302 0.01279781554571235
303 0.01279781036974991
304 0.01279778782490957
305 0.01279778613335761
306 0.01279777010305494
307 0.01279777295316215
308 0.01279777222078541
309 0.01279776406105137
310 0.01279777508154466
311 0.01279781067022874
312 0.01279780674234834
313 0.01279781197716736
314 0.01279779100038291
315 0.01279778636833683
316 0.01279776938360356
317 0.0127977686064329
318 0.01279775564340521
319 0.01279776056304517
320 0.01279774914768479
321 0.01279775791493877
322 0.01279774794168996
323 0.01279775859734283
324 0.01279775006211607
325 0.01279776124728052
326 0.01279775355657901
327 0.0127977646562675
328 0.01279775709447851
329 0.01279776798199429
330 0.01279776010991864
331 0.01279777074993407
332 0.01279776246308343
333 0.01279777281721376
334 0.01279776420238015
335 0.0127977742882142
336 0.01279776545753416
337 0.01279777534387476
338 0.01279776637065659
339 0.0127977761260834
340 0.01279776704938187
341 0.01279777671522998
342 0.01279776755680224
343 0.01279777715049112
344 0.01279776792474329
345 0.01279777745664185
346 0.01279776817280217
347 0.01279777765073605
348 0.01279776831690634
349 0.01279777774944706
350 0.01279776837395439
351 0.01279777776925722
352 0.01279776836222068
353 0.01279777773052256
354 0.01279776830159181
355 0.01279777765197916
356 0.01279776821023437
357 0.01279777755078775
358 0.01279776810087874
359 0.01279777743699466
360 0.01279776798437245
361 0.01279777731935639
362 0.01279776786682201
363 0.01279777720301373
364 0.01279776775297037
365 0.01279777709233029
366 0.01279776764670631
367 0.012797776990651
368 0.0127977675506599
369 0.0127977769016349
370 0.01279776746851785
371 0.01279777682722498
372 0.01279776740209167
373 0.01279777676897385
374 0.01279776735222252
375 0.01279777672760534
376 0.01279776731883872
377 0.01279777670174957
378 0.01279776730023884
379 0.0127977766896355
380 0.01279776729381918
381 0.0127977766881156
382 0.01279776729625556
383 0.01279777669370735
384 0.01279776730394586
385 0.01279777670287018
386 0.01279776731437489
387 0.01279777671363594
388 0.01279776732496448
389 0.01279777672372366
390 0.01279776733416243
391 0.01279777673194945
392 0.01279776734116406
393 0.01279777673756776
394 0.01279776734563758
395 0.01279777674054991
396 0.01279776734682159
397 0.01279777674081304
398 0.01279776734568123
399 0.01279777673760248
400 0.01279776734146235
